syllabus,pos_category,frequency
"aorist, infinitive, middle/passive (μι)",verb,37
"present, imperative, middle/passive (μι)",verb,36
"perfect, infinitive, middle/passive (deponent)",verb,34
"aorist, indicative, middle (irregulars)",verb,33
"future, participle, middle (μι)",verb,31
"aorist, optative, middle/passive (deponent)",verb,30
"aorist, imperative, active (deponent)",verb,30
"future, indicative, middle (irregulars)",verb,29
"aorist, infinitive, unknown (deponent)",verb,29
"aorist, participle, unknown (ω)",verb,29
"perfect, indicative, middle/passive (μι)",verb,28
"future perfect, indicative, middle/passive (ω)",verb,27
"imperfect, indicative, unknown (μι)",verb,26
"future, indicative, unknown (ω)",verb,26
"pluperfect, indicative, active (deponent)",verb,25
"present, participle, unknown (deponent)",verb,24
"perfect, imperative, active (ω)",verb,24
"aorist, participle, unknown (deponent)",verb,23
"present, indicative, passive (ω)",verb,23
"future, participle, middle (deponent)",verb,23
"aorist, imperative, passive (ω)",verb,22
"aorist, imperative, middle/passive (deponent)",verb,21
"perfect, imperative, middle/passive (ω)",verb,21
"pluperfect, indicative, unknown (deponent)",verb,19
"present, optative, active (irregulars)",verb,17
"perfect, subjunctive, active (ω)",verb,16
"perfect, participle, passive (μι)",verb,16
"unknown, subjunctive, active (μι)",verb,16
"aorist, infinitive, passive (deponent)",verb,15
"future, optative, middle (ω)",verb,15
"perfect, optative, active (ω)",verb,14
"future, indicative, unknown (deponent)",verb,14
"present, subjunctive, active (irregulars)",verb,14
"imperfect, indicative, passive (ω)",verb,13
"present, participle, unknown (μι)",verb,13
"future, optative, active (ω)",verb,13
"perfect, optative, active (irregulars)",verb,13
"pluperfect, indicative, passive (μι)",verb,13
"aorist, optative, middle (irregulars)",verb,13
"pluperfect, indicative, middle/passive (μι)",verb,12
"aorist, subjunctive, unknown (deponent)",verb,12
"perfect, participle, passive (ω)",verb,12
"aorist, participle, unknown (μι)",verb,12
"aorist, optative, passive (deponent)",verb,11
"future, participle, active (μι)",verb,11
"future, participle, middle/passive (deponent)",verb,11
"perfect, subjunctive, active (μι)",verb,11
"present, participle, active (deponent)",verb,11
"aorist, subjunctive, passive (μι)",verb,11
"perfect, imperative, middle/passive (deponent)",verb,11
"imperfect, indicative, passive (deponent)",verb,10
"aorist, optative, unknown (ω)",verb,10
"pluperfect, indicative, passive (ω)",verb,10
"unknown, infinitive, active (ω)",verb,9
"aorist, subjunctive, passive (deponent)",verb,9
"future, infinitive, passive (ω)",verb,9
